DATE,U,G
1948-01-01,3.733333333,1.504200324
1948-04-01,3.666666667,1.650680594
1948-07-01,3.766666667,0.572930191
1948-10-01,3.833333333,0.111712158
1949-01-01,4.666666667,-1.37794649
1949-04-01,5.866666667,-0.34110093
1949-07-01,6.7,1.032424777
1949-10-01,6.966666667,-0.83926744
1950-01-01,6.4,3.930097999
1950-04-01,5.566666667,3.049810988
1950-07-01,4.633333333,3.864414603
1950-10-01,4.233333333,1.914780147
1951-01-01,3.5,1.358158764
1951-04-01,3.1,1.732710437
1951-07-01,3.166666667,2.060998798
1951-10-01,3.366666667,0.220249574
1952-01-01,3.066666667,1.068534409
1952-04-01,2.966666667,0.215396694
1952-07-01,3.233333333,0.721849215
1952-10-01,2.833333333,3.284215711
1953-01-01,2.7,1.858867482
1953-04-01,2.566666667,0.77293802
1953-07-01,2.733333333,-0.562677031
1953-10-01,3.7,-1.51394063
1954-01-01,5.266666667,-0.478023888
1954-04-01,5.8,0.108992196
1954-07-01,5.966666667,1.129346277
1954-10-01,5.333333333,1.956688077
1955-01-01,4.733333333,2.856234655
1955-04-01,4.4,1.627204957
1955-07-01,4.1,1.350464288
1955-10-01,4.233333333,0.600328737
1956-01-01,4.033333333,-0.388380468
1956-04-01,4.2,0.826319427
1956-07-01,4.133333333,-0.089839593
1956-10-01,4.133333333,1.645864038
1957-01-01,3.933333333,0.640291153
1957-04-01,4.1,-0.219085924
1957-07-01,4.233333333,0.980018402
1957-10-01,4.933333333,-1.034279655
1958-01-01,6.3,-2.595440045
1958-04-01,7.366666667,0.657226726
1958-07-01,7.333333333,2.313217041
1958-10-01,6.366666667,2.33810956
1959-01-01,5.833333333,1.919552804
1959-04-01,5.1,2.255169531
1959-07-01,5.266666667,0.070560341
1959-10-01,5.6,0.284889055
1960-01-01,5.133333333,2.247714292
1960-04-01,5.233333333,-0.539073361
1960-07-01,5.533333333,0.48942128
1960-10-01,6.266666667,-1.283403329
1961-01-01,6.8,0.67490454
1961-04-01,7,1.697434269
1961-07-01,6.766666667,1.919586999
1961-10-01,6.2,1.961098063
1962-01-01,5.633333333,1.783648811
1962-04-01,5.533333333,0.903663823
1962-07-01,5.566666667,1.228513048
1962-10-01,5.533333333,0.328901576
1963-01-01,5.766666667,1.091574332
1963-04-01,5.733333333,1.122121453
1963-07-01,5.5,2.198434459
1963-10-01,5.566666667,0.655602437
1964-01-01,5.466666667,2.108252099
1964-04-01,5.2,1.08873369
1964-07-01,5,1.562300666
1964-10-01,4.966666667,0.308871858
1965-01-01,4.9,2.419751879
1965-04-01,4.666666667,1.263298249
1965-07-01,4.366666667,2.223252282
1965-10-01,4.1,2.304040466
1966-01-01,3.866666667,2.434228759
1966-04-01,3.833333333,0.341601962
1966-07-01,3.766666667,0.846905052
1966-10-01,3.7,0.820407109
1967-01-01,3.833333333,0.885552587
1967-04-01,3.833333333,0.061297813
1967-07-01,3.8,0.946120917
1967-10-01,3.9,0.754017127
1968-01-01,3.733333333,2.039507129
1968-04-01,3.566666667,1.67079955
1968-07-01,3.533333333,0.774955663
1968-10-01,3.4,0.393320041
1969-01-01,3.4,1.565115509
1969-04-01,3.433333333,0.303995321
1969-07-01,3.566666667,0.660514205
1969-10-01,3.566666667,-0.487694588
1970-01-01,4.166666667,-0.148470701
1970-04-01,4.766666667,0.141930001
1970-07-01,5.166666667,0.92155083
1970-10-01,5.833333333,-1.071638106
1971-01-01,5.933333333,2.715992789
1971-04-01,5.9,0.54112008
1971-07-01,6.033333333,0.822967085
1971-10-01,5.933333333,0.235783839
1972-01-01,5.766666667,1.838958884
1972-04-01,5.7,2.269772354
1972-07-01,5.566666667,0.944381888
1972-10-01,5.366666667,1.674458738
1973-01-01,4.933333333,2.474806377
1973-04-01,4.933333333,1.08866253
1973-07-01,4.8,-0.525898536
1973-10-01,4.766666667,0.949216043
1974-01-01,5.133333333,-0.859772574
1974-04-01,5.2,0.237683227
1974-07-01,5.633333333,-0.945142778
1974-10-01,6.6,-0.388140783
1975-01-01,8.266666667,-1.217285876
1975-04-01,8.866666667,0.714536216
1975-07-01,8.466666667,1.711651967
1975-10-01,8.3,1.346524152
1976-01-01,7.733333333,2.248760121
1976-04-01,7.566666667,0.733700577
1976-07-01,7.733333333,0.548705764
1976-10-01,7.766666667,0.724850978
1977-01-01,7.5,1.181483598
1977-04-01,7.133333333,1.944113078
1977-07-01,6.9,1.804355899
1977-10-01,6.666666667,0.002185772
1978-01-01,6.333333333,0.319163241
1978-04-01,6,3.864270188
1978-07-01,6.033333333,1.005517127
1978-10-01,5.9,1.344143064
1979-01-01,5.866666667,0.179787288
1979-04-01,5.7,0.106919831
1979-07-01,5.866666667,0.742871468
1979-10-01,5.966666667,0.250075034
1980-01-01,6.3,0.314519076
1980-04-01,7.333333333,-2.060472164
1980-07-01,7.666666667,-0.118847117
1980-10-01,7.4,1.864925605
1981-01-01,7.433333333,1.959429461
1981-04-01,7.4,-0.741063613
1981-07-01,7.4,1.19752521
1981-10-01,8.233333333,-1.089564087
1982-01-01,8.833333333,-1.553544479
1982-04-01,9.433333333,0.456198515
1982-07-01,9.9,-0.382299274
1982-10-01,10.66666667,0.039946274
1983-01-01,10.36666667,1.317847576
1983-04-01,10.13333333,2.275612439
1983-07-01,9.366666667,1.999064294
1983-10-01,8.533333333,2.086217479
1984-01-01,7.866666667,1.954770289
1984-04-01,7.433333333,1.727792663
1984-07-01,7.433333333,0.964063628
1984-10-01,7.3,0.820857146
1985-01-01,7.233333333,0.969072301
1985-04-01,7.3,0.880466353
1985-07-01,7.2,1.527121263
1985-10-01,7.033333333,0.743327344
1986-01-01,7.033333333,0.933524708
1986-04-01,7.166666667,0.450377363
1986-07-01,6.966666667,0.956992886
1986-10-01,6.833333333,0.536985718
1987-01-01,6.6,0.74501963
1987-04-01,6.266666667,1.078842316
1987-07-01,6,0.867566856
1987-10-01,5.833333333,1.717036096
1988-01-01,5.7,0.516654167
1988-04-01,5.466666667,1.313900617
1988-07-01,5.466666667,0.585928314
1988-10-01,5.333333333,1.332500553
1989-01-01,5.2,1.016597674
1989-04-01,5.233333333,0.763265657
1989-07-01,5.233333333,0.740876994
1989-10-01,5.366666667,0.197050974
1990-01-01,5.3,1.092795416
1990-04-01,5.333333333,0.36291179
1990-07-01,5.7,0.066512432
1990-10-01,6.133333333,-0.910394541
